Source URL	Source Type	Last Identifier	Source Name	Category	showContact	SYNC_TO_TELEGRAM
https://t.me/qiqgx	telegram	1782379058762	七七供需	供需	1	0
https://t.me/tgttbg1	telegram	1782379061527	【华联社】华泰時報	新闻	1	0
https://t.me/xianyuhuis2	telegram	1782341869867	咸鱼项目	二手	1	0
https://t.me/hddbgongxu	telegram	1782359871663	灰度供需频道	供需	1	0
https://www.panewslab.com/rss.xml	rss	1782790380000	PANews	新闻	0	0
https://t.me/ershou580	telegram	1782379204369	闲转二手交易	二手	1	0
https://plink.anyfeeder.com/bbc/cn	rss	1782786285000	BBC	新闻	0	0
https://tumutanzi.com/feed	rss	1779552042000	土木坛子	有料	0	0
https://t.me/flbym998	telegram	1782360064407	菲律宾998VISA 华人移民	证件	1	0
https://t.me/RuistarVISA	telegram	1782379215590	【瑞达移民】入籍护照快速移民专家	证件	1	0
https://t.me/runrungoaway	telegram	2399	润润Go away	证件	1	0
https://t.me/qianzhengphp	telegram	1782379230053	菲律宾签证/保关/回国/各国签证/旅游	证件	1	0
https://t.me/sililanka77	telegram	1782379254192	斯里兰卡二手群	二手	1	0
https://t.me/LKR222	telegram	1782379261211	斯里兰卡二手闲鱼	二手	1	0
https://t.me/NT1718	telegram	1782379268531	妙瓦底•园区|二手家具家电市场	二手	1	0
https://t.me/dny735	telegram	1782379293338	金三角特区二手交易市场	二手	1	0
https://t.me/qqqwww9	telegram	1782379324687	柬埔寨二手市场	二手	1	0
https://t.me/YYL119	telegram	1782379345371	迪拜/二手物品/二手交易	二手	1	0
https://t.me/sililanka44	telegram	261	斯里兰卡宝石	二手	1	0
https://t.me/sililanka55	telegram	1782379350333	斯里兰卡租房	租房	1	0
https://t.me/SLLKSHCXZN	telegram		斯里兰卡/兰卡美食/生活出行指南	餐馆	1	0
https://t.me/flbds	telegram	1782379353512	菲律宾大事件	新闻	1	0
https://t.me/hddb_bg	telegram	4375	灰度曝光頻道	曝光	1	0
https://t.me/wii57	telegram	1782379373848	泰国新闻	新闻	1	0
https://t.me/DNYDGRJ1	telegram	1782379390761	东南亚打工日记	新闻	1	0
https://t.me/wmxw8687	telegram	1782379395231	东南亚华人社区	新闻	1	0
https://t.me/SLLKTTXW	telegram	1782379411224	斯里兰卡大事件	新闻	1	0
https://t.me/ershouche6	telegram	1782379438928	菲律宾二手车	二手	1	0
https://t.me/abskoop	telegram	1781845114364	A姐分享	有料	1	0
https://feed.wallstreetcn.com/wallstreetcn/news/global	rss	1782789376000	华尔街见闻	新闻	0	0
https://app.chinaz.com/?app=rss	rss	1782464047000	站长之家	新闻	0	0
http://www.logonews.cn/feed	rss	1782704401000	标志情报局	有料	0	0
http://www.toodaylab.com/feed	rss	1782720848000	理想生活实验室	有料	0	0
http://www.ithome.com/rss/	rss	1782787417000	IT之家	新闻	0	0
https://dajiayouxuan.com/feed	rss	1782694812000	大家优选	有料	0	0
http://a.jiemian.com/index.php?m=article&a=rss	rss	1782789908000	界面	有料	0	0
https://www.gcores.com/rss	rss	1781844526000	机核	游戏	0	0
https://hypebeast.cn/feed	rss	1782790770000	Hypebeast	潮流	0	0
http://www.waerfa.com/feed	rss	1781840194000	Mac玩儿法	数码	0	0
https://hutusi.com/feed.xml	rss	1781308800000	胡涂说	有料	0	0
https://plink.anyfeeder.com/idaily/today	rss	1782730740000	iDaily · 每日环球视野	有料	0	0
https://t.me/tnews365	telegram	1782349294558	竹新社	新闻	1	0
https://t.me/xhqcankao	telegram	30446	风向旗参考快讯	新闻	1	0
